image,filter,approach,threads,time_ms
cat,grayscale,pf,1,11
cat,grayscale,pf,2,7
cat,grayscale,pf,4,5
cat,grayscale,pf,8,4
cat,grayscale,pf,16,4
cat,grayscale,pm,1,9
cat,grayscale,pm,2,8
cat,grayscale,pm,4,5
cat,grayscale,pm,8,6
cat,grayscale,pm,16,3
cat,grayscale,sf,0,8
cat,grayscale,sm,0,10
cat,negative,pf,1,7
cat,negative,pf,2,7
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,8
cat,negative,pm,2,6
cat,negative,pm,4,3
cat,negative,pm,8,3
cat,negative,pm,16,5
cat,negative,sf,0,7
cat,negative,sm,0,8
cat,sepia,pf,1,12
cat,sepia,pf,2,9
cat,sepia,pf,4,12
cat,sepia,pf,8,6
cat,sepia,pf,16,6
cat,sepia,pm,1,21
cat,sepia,pm,2,12
cat,sepia,pm,4,7
cat,sepia,pm,8,6
cat,sepia,pm,16,5
cat,sepia,sf,0,16
cat,sepia,sm,0,12
cats2,grayscale,pf,1,442
cats2,grayscale,pf,2,359
cats2,grayscale,pf,4,318
cats2,grayscale,pf,8,334
cats2,grayscale,pf,16,225
cats2,grayscale,pm,1,350
cats2,grayscale,pm,2,300
cats2,grayscale,pm,4,220
cats2,grayscale,pm,8,226
cats2,grayscale,pm,16,175
cats2,grayscale,sf,0,309
cats2,grayscale,sm,0,288
cats2,negative,pf,1,373
cats2,negative,pf,2,360
cats2,negative,pf,4,352
cats2,negative,pf,8,265
cats2,negative,pf,16,200
cats2,negative,pm,1,253
cats2,negative,pm,2,227
cats2,negative,pm,4,186
cats2,negative,pm,8,174
cats2,negative,pm,16,142
cats2,negative,sf,0,256
cats2,negative,sm,0,221
cats2,sepia,pf,1,604
cats2,sepia,pf,2,490
cats2,sepia,pf,4,441
cats2,sepia,pf,8,243
cats2,sepia,pf,16,264
cats2,sepia,pm,1,530
cats2,sepia,pm,2,456
cats2,sepia,pm,4,258
cats2,sepia,pm,8,218
cats2,sepia,pm,16,256
cats2,sepia,sf,0,526
cats2,sepia,sm,0,446
new-york,grayscale,pf,1,3112
new-york,grayscale,pf,2,2721
new-york,grayscale,pf,4,2330
new-york,grayscale,pf,8,2416
new-york,grayscale,pf,16,2167
new-york,grayscale,pm,1,2545
new-york,grayscale,pm,2,2216
new-york,grayscale,pm,4,2137
new-york,grayscale,pm,8,2018
new-york,grayscale,pm,16,1644
new-york,grayscale,sf,0,2663
new-york,grayscale,sm,0,2585
new-york,negative,pf,1,2650
new-york,negative,pf,2,2567
new-york,negative,pf,4,2252
new-york,negative,pf,8,2324
new-york,negative,pf,16,2069
new-york,negative,pm,1,2351
new-york,negative,pm,2,2005
new-york,negative,pm,4,2072
new-york,negative,pm,8,1625
new-york,negative,pm,16,1528
new-york,negative,sf,0,2074
new-york,negative,sm,0,2190
new-york,sepia,pf,1,3567
new-york,sepia,pf,2,3315
new-york,sepia,pf,4,3125
new-york,sepia,pf,8,2648
new-york,sepia,pf,16,2364
new-york,sepia,pm,1,3347
new-york,sepia,pm,2,2676
new-york,sepia,pm,4,2538
new-york,sepia,pm,8,2060
new-york,sepia,pm,16,1754
new-york,sepia,sf,0,3386
new-york,sepia,sm,0,3501
