image,filter,approach,threads,time_ms
cat,grayscale,sf,0,8.0
cat,grayscale,sm,0,8.0
cat,grayscale,pf,1,9.0
cat,grayscale,pm,1,8.0
cat,grayscale,pf,2,7.0
cat,grayscale,pm,2,5.0
cat,grayscale,pf,4,4.0
cat,grayscale,pm,4,5.0
cat,grayscale,pf,8,4.0
cat,grayscale,pm,8,6.0
cat,grayscale,pf,16,6.0
cat,grayscale,pm,16,3.0
cat,sepia,sf,0,11.0
cat,sepia,sm,0,12.0
cat,sepia,pf,1,12.0
cat,sepia,pm,1,12.0
cat,sepia,pf,2,9.0
cat,sepia,pm,2,10.0
cat,sepia,pf,4,6.0
cat,sepia,pm,4,6.0
cat,sepia,pf,8,6.0
cat,sepia,pm,8,4.0
cat,sepia,pf,16,4.0
cat,sepia,pm,16,5.0
cat,negative,sf,0,6.0
cat,negative,sm,0,6.0
cat,negative,pf,1,6.0
cat,negative,pm,1,7.0
cat,negative,pf,2,4.0
cat,negative,pm,2,5.0
cat,negative,pf,4,5.0
cat,negative,pm,4,4.0
cat,negative,pf,8,3.0
cat,negative,pm,8,3.0
cat,negative,pf,16,3.0
cat,negative,pm,16,3.0
cats2,grayscale,sf,0,292.0
cats2,grayscale,sm,0,290.0
cats2,grayscale,pf,1,427.0
cats2,grayscale,pm,1,322.0
cats2,grayscale,pf,2,354.0
cats2,grayscale,pm,2,280.0
cats2,grayscale,pf,4,324.0
cats2,grayscale,pm,4,202.0
cats2,grayscale,pf,8,287.0
cats2,grayscale,pm,8,183.0
cats2,grayscale,pf,16,202.0
cats2,grayscale,pm,16,192.0
cats2,sepia,sf,0,530.0
cats2,sepia,sm,0,468.0
cats2,sepia,pf,1,596.0
cats2,sepia,pm,1,464.0
cats2,sepia,pf,2,439.0
cats2,sepia,pm,2,394.0
cats2,sepia,pf,4,403.0
cats2,sepia,pm,4,272.0
cats2,sepia,pf,8,233.0
cats2,sepia,pm,8,229.0
cats2,sepia,pf,16,298.0
cats2,sepia,pm,16,252.0
cats2,negative,sf,0,242.0
cats2,negative,sm,0,244.0
cats2,negative,pf,1,370.0
cats2,negative,pm,1,259.0
cats2,negative,pf,2,332.0
cats2,negative,pm,2,207.0
cats2,negative,pf,4,297.0
cats2,negative,pm,4,191.0
cats2,negative,pf,8,268.0
cats2,negative,pm,8,160.0
cats2,negative,pf,16,199.0
cats2,negative,pm,16,139.0
new-york,grayscale,sf,0,2517.0
new-york,grayscale,sm,0,2769.0
new-york,grayscale,pf,1,3148.0
new-york,grayscale,pm,1,2509.0
new-york,grayscale,pf,2,2675.0
new-york,grayscale,pm,2,2106.0
new-york,grayscale,pf,4,2475.0
new-york,grayscale,pm,4,1994.0
new-york,grayscale,pf,8,2396.0
new-york,grayscale,pm,8,1914.0
new-york,grayscale,pf,16,2361.0
new-york,grayscale,pm,16,1794.0
new-york,sepia,sf,0,3387.0
new-york,sepia,sm,0,3329.0
new-york,sepia,pf,1,3575.0
new-york,sepia,pm,1,3152.0
new-york,sepia,pf,2,2962.0
new-york,sepia,pm,2,2552.0
new-york,sepia,pf,4,2746.0
new-york,sepia,pm,4,2365.0
new-york,sepia,pf,8,2634.0
new-york,sepia,pm,8,2116.0
new-york,sepia,pf,16,2549.0
new-york,sepia,pm,16,1938.0
new-york,negative,sf,0,2330.0
new-york,negative,sm,0,2408.0
new-york,negative,pf,1,2568.0
new-york,negative,pm,1,2230.0
new-york,negative,pf,2,2404.0
new-york,negative,pm,2,1909.0
new-york,negative,pf,4,2295.0
new-york,negative,pm,4,1795.0
new-york,negative,pf,8,2240.0
new-york,negative,pm,8,1708.0
new-york,negative,pf,16,2156.0
new-york,negative,pm,16,1589.0
