image,filter,approach,threads,time_ms
cat,grayscale,pf,1,10
cat,grayscale,pf,2,7
cat,grayscale,pf,4,4
cat,grayscale,pf,8,3
cat,grayscale,pf,16,5
cat,grayscale,pm,1,11
cat,grayscale,pm,2,6
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,9
cat,grayscale,sm,0,9
cat,negative,pf,1,8
cat,negative,pf,2,5
cat,negative,pf,4,6
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,9
cat,negative,pm,2,5
cat,negative,pm,4,4
cat,negative,pm,8,3
cat,negative,pm,16,5
cat,negative,sf,0,6
cat,negative,sm,0,7
cat,sepia,pf,1,11
cat,sepia,pf,2,10
cat,sepia,pf,4,10
cat,sepia,pf,8,6
cat,sepia,pf,16,5
cat,sepia,pm,1,18
cat,sepia,pm,2,12
cat,sepia,pm,4,6
cat,sepia,pm,8,6
cat,sepia,pm,16,7
cat,sepia,sf,0,12
cat,sepia,sm,0,12
cats2,grayscale,pf,1,434
cats2,grayscale,pf,2,408
cats2,grayscale,pf,4,309
cats2,grayscale,pf,8,278
cats2,grayscale,pf,16,230
cats2,grayscale,pm,1,335
cats2,grayscale,pm,2,299
cats2,grayscale,pm,4,221
cats2,grayscale,pm,8,198
cats2,grayscale,pm,16,182
cats2,grayscale,sf,0,307
cats2,grayscale,sm,0,278
cats2,negative,pf,1,427
cats2,negative,pf,2,373
cats2,negative,pf,4,312
cats2,negative,pf,8,281
cats2,negative,pf,16,169
cats2,negative,pm,1,279
cats2,negative,pm,2,244
cats2,negative,pm,4,178
cats2,negative,pm,8,166
cats2,negative,pm,16,142
cats2,negative,sf,0,248
cats2,negative,sm,0,274
cats2,sepia,pf,1,572
cats2,sepia,pf,2,429
cats2,sepia,pf,4,404
cats2,sepia,pf,8,210
cats2,sepia,pf,16,267
cats2,sepia,pm,1,486
cats2,sepia,pm,2,394
cats2,sepia,pm,4,275
cats2,sepia,pm,8,221
cats2,sepia,pm,16,252
cats2,sepia,sf,0,457
cats2,sepia,sm,0,541
new-york,grayscale,pf,1,3220
new-york,grayscale,pf,2,2594
new-york,grayscale,pf,4,2319
new-york,grayscale,pf,8,2545
new-york,grayscale,pf,16,2215
new-york,grayscale,pm,1,2691
new-york,grayscale,pm,2,2232
new-york,grayscale,pm,4,2067
new-york,grayscale,pm,8,1763
new-york,grayscale,pm,16,1569
new-york,grayscale,sf,0,2439
new-york,grayscale,sm,0,2677
new-york,negative,pf,1,2637
new-york,negative,pf,2,2288
new-york,negative,pf,4,2362
new-york,negative,pf,8,2284
new-york,negative,pf,16,1926
new-york,negative,pm,1,2272
new-york,negative,pm,2,1947
new-york,negative,pm,4,1711
new-york,negative,pm,8,1678
new-york,negative,pm,16,1584
new-york,negative,sf,0,2216
new-york,negative,sm,0,2329
new-york,sepia,pf,1,3367
new-york,sepia,pf,2,2931
new-york,sepia,pf,4,2942
new-york,sepia,pf,8,2745
new-york,sepia,pf,16,2484
new-york,sepia,pm,1,3834
new-york,sepia,pm,2,2780
new-york,sepia,pm,4,2555
new-york,sepia,pm,8,2099
new-york,sepia,pm,16,1924
new-york,sepia,sf,0,3041
new-york,sepia,sm,0,3280
