image,filter,approach,threads,time_ms
cat,grayscale,pf,1,11
cat,grayscale,pf,2,6
cat,grayscale,pf,4,5
cat,grayscale,pf,8,4
cat,grayscale,pf,16,3
cat,grayscale,pm,1,8
cat,grayscale,pm,2,7
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,8
cat,grayscale,sm,0,8
cat,negative,pf,1,8
cat,negative,pf,2,6
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,7
cat,negative,pm,2,6
cat,negative,pm,4,4
cat,negative,pm,8,3
cat,negative,pm,16,6
cat,negative,sf,0,8
cat,negative,sm,0,7
cat,sepia,pf,1,14
cat,sepia,pf,2,10
cat,sepia,pf,4,9
cat,sepia,pf,8,5
cat,sepia,pf,16,5
cat,sepia,pm,1,18
cat,sepia,pm,2,11
cat,sepia,pm,4,8
cat,sepia,pm,8,6
cat,sepia,pm,16,6
cat,sepia,sf,0,16
cat,sepia,sm,0,9
cats2,grayscale,pf,1,439
cats2,grayscale,pf,2,412
cats2,grayscale,pf,4,307
cats2,grayscale,pf,8,334
cats2,grayscale,pf,16,230
cats2,grayscale,pm,1,323
cats2,grayscale,pm,2,310
cats2,grayscale,pm,4,253
cats2,grayscale,pm,8,213
cats2,grayscale,pm,16,184
cats2,grayscale,sf,0,295
cats2,grayscale,sm,0,278
cats2,negative,pf,1,404
cats2,negative,pf,2,343
cats2,negative,pf,4,347
cats2,negative,pf,8,263
cats2,negative,pf,16,189
cats2,negative,pm,1,274
cats2,negative,pm,2,245
cats2,negative,pm,4,184
cats2,negative,pm,8,155
cats2,negative,pm,16,130
cats2,negative,sf,0,230
cats2,negative,sm,0,251
cats2,sepia,pf,1,620
cats2,sepia,pf,2,430
cats2,sepia,pf,4,462
cats2,sepia,pf,8,246
cats2,sepia,pf,16,280
cats2,sepia,pm,1,543
cats2,sepia,pm,2,370
cats2,sepia,pm,4,241
cats2,sepia,pm,8,196
cats2,sepia,pm,16,255
cats2,sepia,sf,0,493
cats2,sepia,sm,0,458
new-york,grayscale,pf,1,3203
new-york,grayscale,pf,2,2590
new-york,grayscale,pf,4,2782
new-york,grayscale,pf,8,2531
new-york,grayscale,pf,16,2279
new-york,grayscale,pm,1,2724
new-york,grayscale,pm,2,2259
new-york,grayscale,pm,4,2123
new-york,grayscale,pm,8,1790
new-york,grayscale,pm,16,1759
new-york,grayscale,sf,0,2761
new-york,grayscale,sm,0,2771
new-york,negative,pf,1,2849
new-york,negative,pf,2,2407
new-york,negative,pf,4,2254
new-york,negative,pf,8,2254
new-york,negative,pf,16,2046
new-york,negative,pm,1,2406
new-york,negative,pm,2,1800
new-york,negative,pm,4,1977
new-york,negative,pm,8,1655
new-york,negative,pm,16,1527
new-york,negative,sf,0,2020
new-york,negative,sm,0,2055
new-york,sepia,pf,1,3811
new-york,sepia,pf,2,3125
new-york,sepia,pf,4,2717
new-york,sepia,pf,8,2534
new-york,sepia,pf,16,2410
new-york,sepia,pm,1,3520
new-york,sepia,pm,2,2700
new-york,sepia,pm,4,2264
new-york,sepia,pm,8,2002
new-york,sepia,pm,16,1860
new-york,sepia,sf,0,2709
new-york,sepia,sm,0,3189
