image,filter,approach,threads,time_ms
cat,grayscale,pf,1,10
cat,grayscale,pf,2,7
cat,grayscale,pf,4,5
cat,grayscale,pf,8,4
cat,grayscale,pf,16,4
cat,grayscale,pm,1,8
cat,grayscale,pm,2,8
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,8
cat,grayscale,sm,0,8
cat,negative,pf,1,7
cat,negative,pf,2,4
cat,negative,pf,4,4
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,8
cat,negative,pm,2,5
cat,negative,pm,4,3
cat,negative,pm,8,3
cat,negative,pm,16,5
cat,negative,sf,0,7
cat,negative,sm,0,6
cat,sepia,pf,1,11
cat,sepia,pf,2,10
cat,sepia,pf,4,10
cat,sepia,pf,8,6
cat,sepia,pf,16,6
cat,sepia,pm,1,18
cat,sepia,pm,2,10
cat,sepia,pm,4,8
cat,sepia,pm,8,5
cat,sepia,pm,16,5
cat,sepia,sf,0,16
cat,sepia,sm,0,10
cats2,grayscale,pf,1,432
cats2,grayscale,pf,2,332
cats2,grayscale,pf,4,305
cats2,grayscale,pf,8,309
cats2,grayscale,pf,16,233
cats2,grayscale,pm,1,331
cats2,grayscale,pm,2,290
cats2,grayscale,pm,4,210
cats2,grayscale,pm,8,186
cats2,grayscale,pm,16,169
cats2,grayscale,sf,0,290
cats2,grayscale,sm,0,313
cats2,negative,pf,1,385
cats2,negative,pf,2,315
cats2,negative,pf,4,348
cats2,negative,pf,8,261
cats2,negative,pf,16,172
cats2,negative,pm,1,275
cats2,negative,pm,2,241
cats2,negative,pm,4,200
cats2,negative,pm,8,146
cats2,negative,pm,16,134
cats2,negative,sf,0,239
cats2,negative,sm,0,258
cats2,sepia,pf,1,561
cats2,sepia,pf,2,446
cats2,sepia,pf,4,396
cats2,sepia,pf,8,203
cats2,sepia,pf,16,283
cats2,sepia,pm,1,519
cats2,sepia,pm,2,383
cats2,sepia,pm,4,278
cats2,sepia,pm,8,225
cats2,sepia,pm,16,217
cats2,sepia,sf,0,476
cats2,sepia,sm,0,502
new-york,grayscale,pf,1,3107
new-york,grayscale,pf,2,2916
new-york,grayscale,pf,4,2121
new-york,grayscale,pf,8,2580
new-york,grayscale,pf,16,2243
new-york,grayscale,pm,1,2551
new-york,grayscale,pm,2,2184
new-york,grayscale,pm,4,1861
new-york,grayscale,pm,8,1815
new-york,grayscale,pm,16,1724
new-york,grayscale,sf,0,2672
new-york,grayscale,sm,0,2492
new-york,negative,pf,1,2495
new-york,negative,pf,2,2372
new-york,negative,pf,4,2443
new-york,negative,pf,8,2271
new-york,negative,pf,16,1956
new-york,negative,pm,1,2306
new-york,negative,pm,2,1945
new-york,negative,pm,4,1898
new-york,negative,pm,8,1585
new-york,negative,pm,16,1511
new-york,negative,sf,0,2054
new-york,negative,sm,0,2043
new-york,sepia,pf,1,3661
new-york,sepia,pf,2,3107
new-york,sepia,pf,4,2860
new-york,sepia,pf,8,2636
new-york,sepia,pf,16,2242
new-york,sepia,pm,1,3135
new-york,sepia,pm,2,2648
new-york,sepia,pm,4,2312
new-york,sepia,pm,8,1981
new-york,sepia,pm,16,1895
new-york,sepia,sf,0,3373
new-york,sepia,sm,0,3177
