image,filter,approach,threads,time_ms
cat,grayscale,sf,0,8.0
cat,grayscale,sm,0,8.0
cat,grayscale,pf,1,11.0
cat,grayscale,pm,1,9.0
cat,grayscale,pf,2,7.0
cat,grayscale,pm,2,8.0
cat,grayscale,pf,4,6.0
cat,grayscale,pm,4,5.0
cat,grayscale,pf,8,3.0
cat,grayscale,pm,8,4.0
cat,grayscale,pf,16,3.0
cat,grayscale,pm,16,3.0
cat,sepia,sf,0,19.0
cat,sepia,sm,0,12.0
cat,sepia,pf,1,12.0
cat,sepia,pm,1,25.0
cat,sepia,pf,2,11.0
cat,sepia,pm,2,12.0
cat,sepia,pf,4,16.0
cat,sepia,pm,4,8.0
cat,sepia,pf,8,5.0
cat,sepia,pm,8,7.0
cat,sepia,pf,16,8.0
cat,sepia,pm,16,7.0
cat,negative,sf,0,8.0
cat,negative,sm,0,8.0
cat,negative,pf,1,8.0
cat,negative,pm,1,8.0
cat,negative,pf,2,7.0
cat,negative,pm,2,6.0
cat,negative,pf,4,5.0
cat,negative,pm,4,4.0
cat,negative,pf,8,3.0
cat,negative,pm,8,3.0
cat,negative,pf,16,3.0
cat,negative,pm,16,7.0
cats2,grayscale,sf,0,313.0
cats2,grayscale,sm,0,297.0
cats2,grayscale,pf,1,430.0
cats2,grayscale,pm,1,338.0
cats2,grayscale,pf,2,423.0
cats2,grayscale,pm,2,310.0
cats2,grayscale,pf,4,355.0
cats2,grayscale,pm,4,231.0
cats2,grayscale,pf,8,328.0
cats2,grayscale,pm,8,235.0
cats2,grayscale,pf,16,244.0
cats2,grayscale,pm,16,167.0
cats2,sepia,sf,0,406.0
cats2,sepia,sm,0,445.0
cats2,sepia,pf,1,574.0
cats2,sepia,pm,1,490.0
cats2,sepia,pf,2,472.0
cats2,sepia,pm,2,382.0
cats2,sepia,pf,4,462.0
cats2,sepia,pm,4,251.0
cats2,sepia,pf,8,214.0
cats2,sepia,pm,8,214.0
cats2,sepia,pf,16,242.0
cats2,sepia,pm,16,207.0
cats2,negative,sf,0,229.0
cats2,negative,sm,0,242.0
cats2,negative,pf,1,388.0
cats2,negative,pm,1,273.0
cats2,negative,pf,2,393.0
cats2,negative,pm,2,246.0
cats2,negative,pf,4,388.0
cats2,negative,pm,4,188.0
cats2,negative,pf,8,272.0
cats2,negative,pm,8,153.0
cats2,negative,pf,16,165.0
cats2,negative,pm,16,138.0
new-york,grayscale,sf,0,2495.0
new-york,grayscale,sm,0,2387.0
new-york,grayscale,pf,1,3124.0
new-york,grayscale,pm,1,2711.0
new-york,grayscale,pf,2,2771.0
new-york,grayscale,pm,2,2274.0
new-york,grayscale,pf,4,2449.0
new-york,grayscale,pm,4,2174.0
new-york,grayscale,pf,8,2597.0
new-york,grayscale,pm,8,1785.0
new-york,grayscale,pf,16,2139.0
new-york,grayscale,pm,16,1618.0
new-york,sepia,sf,0,2821.0
new-york,sepia,sm,0,3018.0
new-york,sepia,pf,1,3693.0
new-york,sepia,pm,1,3302.0
new-york,sepia,pf,2,3218.0
new-york,sepia,pm,2,2877.0
new-york,sepia,pf,4,3016.0
new-york,sepia,pm,4,2491.0
new-york,sepia,pf,8,2742.0
new-york,sepia,pm,8,1908.0
new-york,sepia,pf,16,2316.0
new-york,sepia,pm,16,1804.0
new-york,negative,sf,0,1893.0
new-york,negative,sm,0,2036.0
new-york,negative,pf,1,2674.0
new-york,negative,pm,1,2300.0
new-york,negative,pf,2,2499.0
new-york,negative,pm,2,1991.0
new-york,negative,pf,4,2410.0
new-york,negative,pm,4,1852.0
new-york,negative,pf,8,2262.0
new-york,negative,pm,8,1603.0
new-york,negative,pf,16,1894.0
new-york,negative,pm,16,1507.0
