image,filter,approach,threads,time_ms
cat,grayscale,pf,1,9
cat,grayscale,pf,2,7
cat,grayscale,pf,4,5
cat,grayscale,pf,8,4
cat,grayscale,pf,16,6
cat,grayscale,pm,1,7
cat,grayscale,pm,2,7
cat,grayscale,pm,4,4
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,8
cat,grayscale,sm,0,7
cat,negative,pf,1,6
cat,negative,pf,2,6
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,7
cat,negative,pm,2,7
cat,negative,pm,4,4
cat,negative,pm,8,2
cat,negative,pm,16,5
cat,negative,sf,0,6
cat,negative,sm,0,8
cat,sepia,pf,1,11
cat,sepia,pf,2,10
cat,sepia,pf,4,12
cat,sepia,pf,8,6
cat,sepia,pf,16,5
cat,sepia,pm,1,18
cat,sepia,pm,2,10
cat,sepia,pm,4,6
cat,sepia,pm,8,7
cat,sepia,pm,16,6
cat,sepia,sf,0,13
cat,sepia,sm,0,13
cats2,grayscale,pf,1,492
cats2,grayscale,pf,2,416
cats2,grayscale,pf,4,303
cats2,grayscale,pf,8,297
cats2,grayscale,pf,16,242
cats2,grayscale,pm,1,313
cats2,grayscale,pm,2,304
cats2,grayscale,pm,4,228
cats2,grayscale,pm,8,195
cats2,grayscale,pm,16,178
cats2,grayscale,sf,0,233
cats2,grayscale,sm,0,272
cats2,negative,pf,1,372
cats2,negative,pf,2,330
cats2,negative,pf,4,381
cats2,negative,pf,8,243
cats2,negative,pf,16,176
cats2,negative,pm,1,268
cats2,negative,pm,2,249
cats2,negative,pm,4,170
cats2,negative,pm,8,169
cats2,negative,pm,16,138
cats2,negative,sf,0,219
cats2,negative,sm,0,250
cats2,sepia,pf,1,592
cats2,sepia,pf,2,436
cats2,sepia,pf,4,434
cats2,sepia,pf,8,217
cats2,sepia,pf,16,272
cats2,sepia,pm,1,498
cats2,sepia,pm,2,430
cats2,sepia,pm,4,238
cats2,sepia,pm,8,254
cats2,sepia,pm,16,198
cats2,sepia,sf,0,462
cats2,sepia,sm,0,475
new-york,grayscale,pf,1,3175
new-york,grayscale,pf,2,2634
new-york,grayscale,pf,4,2433
new-york,grayscale,pf,8,2431
new-york,grayscale,pf,16,2180
new-york,grayscale,pm,1,2717
new-york,grayscale,pm,2,2226
new-york,grayscale,pm,4,2009
new-york,grayscale,pm,8,1930
new-york,grayscale,pm,16,1730
new-york,grayscale,sf,0,2604
new-york,grayscale,sm,0,2655
new-york,negative,pf,1,2508
new-york,negative,pf,2,2379
new-york,negative,pf,4,2437
new-york,negative,pf,8,2316
new-york,negative,pf,16,2020
new-york,negative,pm,1,2275
new-york,negative,pm,2,2072
new-york,negative,pm,4,1767
new-york,negative,pm,8,1698
new-york,negative,pm,16,1530
new-york,negative,sf,0,2085
new-york,negative,sm,0,2341
new-york,sepia,pf,1,3779
new-york,sepia,pf,2,3211
new-york,sepia,pf,4,3065
new-york,sepia,pf,8,2687
new-york,sepia,pf,16,2512
new-york,sepia,pm,1,3172
new-york,sepia,pm,2,2754
new-york,sepia,pm,4,2409
new-york,sepia,pm,8,2019
new-york,sepia,pm,16,1924
new-york,sepia,sf,0,2972
new-york,sepia,sm,0,3501
