image,filter,approach,threads,time_ms
cat,grayscale,pf,1,10
cat,grayscale,pf,2,8
cat,grayscale,pf,4,6
cat,grayscale,pf,8,4
cat,grayscale,pf,16,5
cat,grayscale,pm,1,7
cat,grayscale,pm,2,5
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,6
cat,grayscale,sm,0,8
cat,negative,pf,1,6
cat,negative,pf,2,6
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,7
cat,negative,pm,2,5
cat,negative,pm,4,4
cat,negative,pm,8,3
cat,negative,pm,16,5
cat,negative,sf,0,7
cat,negative,sm,0,6
cat,sepia,pf,1,12
cat,sepia,pf,2,9
cat,sepia,pf,4,10
cat,sepia,pf,8,5
cat,sepia,pf,16,7
cat,sepia,pm,1,19
cat,sepia,pm,2,10
cat,sepia,pm,4,7
cat,sepia,pm,8,5
cat,sepia,pm,16,6
cat,sepia,sf,0,16
cat,sepia,sm,0,13
cats2,grayscale,pf,1,415
cats2,grayscale,pf,2,375
cats2,grayscale,pf,4,334
cats2,grayscale,pf,8,259
cats2,grayscale,pf,16,200
cats2,grayscale,pm,1,363
cats2,grayscale,pm,2,330
cats2,grayscale,pm,4,214
cats2,grayscale,pm,8,218
cats2,grayscale,pm,16,184
cats2,grayscale,sf,0,369
cats2,grayscale,sm,0,318
cats2,negative,pf,1,377
cats2,negative,pf,2,340
cats2,negative,pf,4,306
cats2,negative,pf,8,275
cats2,negative,pf,16,173
cats2,negative,pm,1,241
cats2,negative,pm,2,217
cats2,negative,pm,4,176
cats2,negative,pm,8,176
cats2,negative,pm,16,148
cats2,negative,sf,0,236
cats2,negative,sm,0,269
cats2,sepia,pf,1,591
cats2,sepia,pf,2,430
cats2,sepia,pf,4,481
cats2,sepia,pf,8,233
cats2,sepia,pf,16,252
cats2,sepia,pm,1,473
cats2,sepia,pm,2,366
cats2,sepia,pm,4,237
cats2,sepia,pm,8,237
cats2,sepia,pm,16,261
cats2,sepia,sf,0,424
cats2,sepia,sm,0,477
new-york,grayscale,pf,1,3048
new-york,grayscale,pf,2,2669
new-york,grayscale,pf,4,2400
new-york,grayscale,pf,8,2400
new-york,grayscale,pf,16,2266
new-york,grayscale,pm,1,2513
new-york,grayscale,pm,2,2229
new-york,grayscale,pm,4,2088
new-york,grayscale,pm,8,1836
new-york,grayscale,pm,16,1636
new-york,grayscale,sf,0,2445
new-york,grayscale,sm,0,2687
new-york,negative,pf,1,2698
new-york,negative,pf,2,2343
new-york,negative,pf,4,2375
new-york,negative,pf,8,2346
new-york,negative,pf,16,1865
new-york,negative,pm,1,2337
new-york,negative,pm,2,1894
new-york,negative,pm,4,1884
new-york,negative,pm,8,1600
new-york,negative,pm,16,1415
new-york,negative,sf,0,1949
new-york,negative,sm,0,2237
new-york,sepia,pf,1,3698
new-york,sepia,pf,2,2964
new-york,sepia,pf,4,2986
new-york,sepia,pf,8,2477
new-york,sepia,pf,16,2435
new-york,sepia,pm,1,3046
new-york,sepia,pm,2,2638
new-york,sepia,pm,4,2445
new-york,sepia,pm,8,1934
new-york,sepia,pm,16,1843
new-york,sepia,sf,0,3274
new-york,sepia,sm,0,3096
