image,filter,approach,threads,time_ms
cat,grayscale,pf,1,9
cat,grayscale,pf,2,6
cat,grayscale,pf,4,6
cat,grayscale,pf,8,4
cat,grayscale,pf,16,5
cat,grayscale,pm,1,9
cat,grayscale,pm,2,7
cat,grayscale,pm,4,5
cat,grayscale,pm,8,5
cat,grayscale,pm,16,3
cat,grayscale,sf,0,9
cat,grayscale,sm,0,8
cat,negative,pf,1,6
cat,negative,pf,2,5
cat,negative,pf,4,5
cat,negative,pf,8,3
cat,negative,pf,16,3
cat,negative,pm,1,8
cat,negative,pm,2,6
cat,negative,pm,4,4
cat,negative,pm,8,3
cat,negative,pm,16,5
cat,negative,sf,0,6
cat,negative,sm,0,6
cat,sepia,pf,1,11
cat,sepia,pf,2,10
cat,sepia,pf,4,11
cat,sepia,pf,8,6
cat,sepia,pf,16,7
cat,sepia,pm,1,18
cat,sepia,pm,2,11
cat,sepia,pm,4,6
cat,sepia,pm,8,5
cat,sepia,pm,16,6
cat,sepia,sf,0,16
cat,sepia,sm,0,11
cats2,grayscale,pf,1,445
cats2,grayscale,pf,2,431
cats2,grayscale,pf,4,337
cats2,grayscale,pf,8,317
cats2,grayscale,pf,16,234
cats2,grayscale,pm,1,321
cats2,grayscale,pm,2,300
cats2,grayscale,pm,4,217
cats2,grayscale,pm,8,211
cats2,grayscale,pm,16,170
cats2,grayscale,sf,0,303
cats2,grayscale,sm,0,304
cats2,negative,pf,1,418
cats2,negative,pf,2,387
cats2,negative,pf,4,395
cats2,negative,pf,8,256
cats2,negative,pf,16,193
cats2,negative,pm,1,270
cats2,negative,pm,2,262
cats2,negative,pm,4,179
cats2,negative,pm,8,148
cats2,negative,pm,16,133
cats2,negative,sf,0,201
cats2,negative,sm,0,234
cats2,sepia,pf,1,555
cats2,sepia,pf,2,461
cats2,sepia,pf,4,443
cats2,sepia,pf,8,253
cats2,sepia,pf,16,288
cats2,sepia,pm,1,458
cats2,sepia,pm,2,364
cats2,sepia,pm,4,271
cats2,sepia,pm,8,201
cats2,sepia,pm,16,259
cats2,sepia,sf,0,507
cats2,sepia,sm,0,442
new-york,grayscale,pf,1,2872
new-york,grayscale,pf,2,2911
new-york,grayscale,pf,4,2452
new-york,grayscale,pf,8,2655
new-york,grayscale,pf,16,2074
new-york,grayscale,pm,1,2536
new-york,grayscale,pm,2,2194
new-york,grayscale,pm,4,2092
new-york,grayscale,pm,8,1811
new-york,grayscale,pm,16,1762
new-york,grayscale,sf,0,2376
new-york,grayscale,sm,0,2564
new-york,negative,pf,1,2641
new-york,negative,pf,2,2518
new-york,negative,pf,4,2440
new-york,negative,pf,8,2128
new-york,negative,pf,16,1873
new-york,negative,pm,1,2413
new-york,negative,pm,2,1985
new-york,negative,pm,4,1758
new-york,negative,pm,8,1786
new-york,negative,pm,16,1559
new-york,negative,sf,0,2239
new-york,negative,sm,0,2233
new-york,sepia,pf,1,4014
new-york,sepia,pf,2,3366
new-york,sepia,pf,4,2849
new-york,sepia,pf,8,2823
new-york,sepia,pf,16,2515
new-york,sepia,pm,1,3453
new-york,sepia,pm,2,2588
new-york,sepia,pm,4,2515
new-york,sepia,pm,8,2121
new-york,sepia,pm,16,1709
new-york,sepia,sf,0,2925
new-york,sepia,sm,0,2855
